id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-001000,11,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,gini,produzido,0.187979,0.01862,30,0
20260703-001000,11,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,gini_recompensas,stake,0.979168,0.000497,30,0
20260703-001000,11,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,gini_recompensas,eleito,0.979168,0.000497,30,0
20260703-001000,11,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.25,gini_recompensas,produzido,0.979168,0.000497,30,0
20260703-001000,12,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,gini,stake,0.921377,0.004724,30,0
20260703-001000,12,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,gini,eleito,0.122329,0.016096,30,0
20260703-001000,12,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,gini,produzido,0.132362,0.016266,30,0
20260703-001000,12,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,gini_recompensas,stake,0.978339,0.000515,30,0
20260703-001000,12,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,gini_recompensas,eleito,0.978339,0.000515,30,0
20260703-001000,12,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,5,0.0,0.5,gini_recompensas,produzido,0.978339,0.000515,30,0
20260703-001000,13,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,gini,stake,0.690632,0.02227,30,0
20260703-001000,13,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,gini,eleito,0.297231,0.025945,30,0
20260703-001000,13,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,gini,produzido,0.300324,0.02591,30,0
20260703-001000,13,G10,concentracao_de_recompensas,1000,pareto,1.1,100,27,1.0,30,10000,0.0,0,0.0,0.0,0.0,10,0.0,0.0,gini_recompensas,stake,0.977114,0.00096,30,0
