n_holders,parametro_dist,n_rodadas,reinveste_recompensa,rodada,gini
200,1.1,5,0.25,3,0.7112135127289043
200,1.1,5,0.25,4,0.7496887864899087
200,1.1,5,0.25,5,0.7795789130348287
200,1.1,5,0.25,1,0.8379094696771796
200,1.1,5,0.25,2,0.8521403785673991
200,1.1,5,0.25,3,0.8609360485281201
200,1.1,5,0.25,4,0.8712078379222636
200,1.1,5,0.25,5,0.8806630534402968
200,1.1,5,0.25,1,0.5981324192654578
200,1.1,5,0.25,2,0.6613839827263528
200,1.1,5,0.25,3,0.7120877140728665
200,1.1,5,0.25,4,0.7515094849357837
200,1.1,5,0.25,5,0.7824475411647496
200,1.1,5,0.25,1,0.6519028119874359
200,1.1,5,0.25,2,0.7020459681773275
200,1.1,5,0.25,3,0.7439675747263397
200,1.1,5,0.25,4,0.7774935752849581
200,1.1,5,0.25,5,0.8036284212231761
200,1.1,5,0.25,1,0.5713326892832973
200,1.1,5,0.25,2,0.6402748465892254
200,1.1,5,0.25,3,0.695039550080568
200,1.1,5,0.25,4,0.7381298877509592
200,1.1,5,0.25,5,0.7721641352718567
200,1.1,5,0.25,1,0.8553570204296981
200,1.1,5,0.25,2,0.8662640737055551
200,1.1,5,0.25,3,0.8744404091355169
200,1.1,5,0.25,4,0.8822450628136569
200,1.1,5,0.25,5,0.8889702480289572
200,1.1,5,0.25,1,0.6972203538794457
200,1.1,5,0.25,2,0.7399117661169363
200,1.1,5,0.25,3,0.7756878447034243
200,1.1,5,0.25,4,0.8044105111842497
200,1.1,5,0.25,5,0.8262614351071507
200,1.1,5,0.25,1,0.6317332463275356
200,1.1,5,0.25,2,0.6888553169277349
200,1.1,5,0.25,3,0.7337710605809653
200,1.1,5,0.25,4,0.7694544237745307
200,1.1,5,0.25,5,0.7970205785558628
200,1.1,5,0.25,1,0.7061828626676834
200,1.1,5,0.25,2,0.7479161655086892
200,1.1,5,0.25,3,0.7810891460134339
200,1.1,5,0.25,4,0.8075013926226327
200,1.1,5,0.25,5,0.8270707790578087
200,1.1,5,0.25,1,0.6161560836541662
200,1.1,5,0.25,2,0.675678272251792
200,1.1,5,0.25,3,0.7228914509014863
200,1.1,5,0.25,4,0.7603289671914883
200,1.1,5,0.25,5,0.7896594385886022
200,1.1,5,0.25,1,0.5796004842673228
200,1.1,5,0.25,2,0.6471344296513337
200,1.1,5,0.25,3,0.6999200954809488
200,1.1,5,0.25,4,0.741817158940836
200,1.1,5,0.25,5,0.7745794387187992
200,1.1,5,0.25,1,0.4583272326988186
200,1.1,5,0.25,2,0.5500869823621541
200,1.1,5,0.25,3,0.6224617119837383
200,1.1,5,0.25,4,0.679325906737184
200,1.1,5,0.25,5,0.7240242338706666
200,1.1,5,0.25,1,0.6859294544103312
200,1.1,5,0.25,2,0.7319095874249641
200,1.1,5,0.25,3,0.7681956989271428
200,1.1,5,0.25,4,0.7973229968337365
200,1.1,5,0.25,5,0.8196461306964169
200,1.1,5,0.25,1,0.5883345350377023
200,1.1,5,0.25,2,0.65378556496027
200,1.1,5,0.25,3,0.7059040503589566
200,1.1,5,0.25,4,0.7469413177514217
200,1.1,5,0.25,5,0.7787235213583152
200,1.1,5,0.25,1,0.7762153519532244
200,1.1,5,0.25,2,0.8033323173916422
